Sensor,fc1,fc2,fc3,fc4
111,36.3,40.6,39,41.2
112,43.5,44.5,45.3,50.2
113,24.7,37.5,36.5,31.9
114,36.6,39.4,32.1,32.3
115,31.21,38.07,37.88,40.98
116,31.21,38.07,37.88,40.98
117,31.21,38.07,37.88,40.98
118,29.4,40.6,40.3,48.8
120,31.21,38.07,37.88,40.98
554,41.4,46,47.8,47.4
555,43.7,44.8,43.6,47.7
556,11.5,16.4,22.6,34.2
557,24.6,41.7,46.2,44.9
558,20.4,29.2,25.4,31.2
2491,31.21,38.07,37.88,40.98
2492,31.21,38.07,37.88,40.98
