Station,Date,Layer1,Layer2,Layer3,Layer4
111,2023-07-07,25.8,36.2,37.233,34.0
111,2023-07-17,36.767,42.6,45.1,49.733
111,2023-07-24,28.4,35.433,37.167,33.533
111,2023-07-31,32.9,39.5,39.9,38.8
111,2023-08-06,45.0,49.5,50.9,54.5
111,2023-08-08,43.1,48.7,50.3,54.1
111,2023-08-19,32.7,39.2,40.9,39.6
112,2023-07-07,33.0,41.6,41.8,38.6
112,2023-07-18,36.3,42.1,43.5,42.45
112,2023-07-30,41.6,39.9,38.0,36.9
112,2023-08-15,43.4,43.05,44.7,41.8
113,2023-07-06,23.6,37.6,36.4,31.9
113,2023-07-12,24.4,37.3,35.9,31.267
113,2023-07-16,30.9,42.8,37.633,38.267
113,2023-07-27,30.6,38.5,33.0,30.2
113,2023-08-08,37.9,42.2,35.9,31.4
114,2023-07-27,30.3,38.0,31.5,31.0
114,2023-07-30,37.8,44.0,38.4,45.9
114,2023-08-08,42.68,49.36,46.62,53.36
114,2023-08-19,37.28,45.0,42.96,43.26
115,2023-08-11,33.2,37.5,40.5,49.2
116,2023-06-26,36.37,43.615,47.043,48.349
116,2023-08-13,51.4,53.8,55.7,58.8
118,2023-06-27,19.3,29.6,33.2,35.1
118,2023-07-01,23.0,33.4,33.5,34.2
118,2023-07-24,22.2,37.5,37.1,42.133
118,2023-07-30,26.1,40.5,40.2,46.7
118,2023-08-10,37.7,48.9,47.9,51.1
118,2023-08-13,27.9,41.1,38.6,44.5
554,2023-07-07,34.067,41.6,44.9,46.7
554,2023-07-18,38.8,46.1,47.9,46.5
554,2023-07-31,38.0,44.5,46.3,45.9
554,2023-08-11,44.5,47.8,46.2,45.8
555,2023-07-01,38.3,40.9,40.0,43.0
555,2023-07-04,41.767,43.8,42.2,44.4
555,2023-07-10,42.9,46.8,45.1,46.4
555,2023-07-16,47.7,51.0,50.4,53.8
555,2023-07-24,41.167,46.8,48.1,49.4
555,2023-07-30,48.7,51.6,52.4,56.267
556,2023-07-10,15.7,18.3,24.1,35.6
556,2023-07-18,19.267,23.1,20.3,36.067
556,2023-07-26,21.667,27.7,33.5,44.367
557,2023-07-17,32.3,35.2,36.7,38.767
557,2023-07-24,24.7,28.933,35.0,35.7
557,2023-07-30,32.5,33.1,36.7,36.3
557,2023-08-08,38.9,38.2,39.8,41.8
557,2023-08-27,27.6,28.2,34.1,37.3
558,2023-07-08,14.233,28.3,24.1,28.6
558,2023-07-10,34.467,39.3,34.5,33.3
558,2023-07-18,35.6,42.3,37.4,35.9
558,2023-07-20,36.0,34.6,34.3,20.6
558,2023-08-04,28.6,40.7,46.4,43.3
2492,2023-07-01,25.9,40.0,30.2,25.3
