Date,Station,Crop,Rootdpth(inch),Deficit(inch),sm_val1(%),sm_val2(%),sm_val3(%),sm_val4(%),fc_date,fc_val1(%),fc_val2(%),fc_val3(%),fc_val4(%)
2024-06-24 0:00,111,Soybean,197.3333,3.23,16.8,20.6,42.2,50.5,2024-06-18,24.8,27.9,44.8,51.7
2024-06-24 0:00,112,Soybean,197.3333,-4.8,23.1,30.3,40.1,52.2,2024-05-29,29.6,33,43.6,49.1
2024-06-24 0:00,113,Soybean,197.3333,0.75,26.4,35.3,45.4,51.9,2024-06-17,33.6,50.4,50.6,51.4
2024-06-24 0:00,114,Soybean,197.3333,2.63,18.4,35.3,41.4,42.8,2023-08-19,37.28,45,42.96,43.26
2024-06-24 0:00,115,Soybean,197.3333,31.51,22.3,32.3,36.6,32.3,2023-08-11,33.2,37.5,40.5,49.2
2024-06-24 0:00,116,Soybean,197.3333,0.88,12.4,19.1,34.2,49.4,2024-06-22,14.1,22.5,37.8,49.6
2024-06-24 0:00,554,Corn,204,7.19,6,7.8,27.3,38.3,2024-06-19,4.6,10.1,31.6,42
2024-06-24 0:00,556,Corn,204,22.38,24.7,24.2,18.3,24.6,2024-06-17,17.7,24.9,25.6,36.6
2024-06-24 0:00,557,Corn,204,7.63,40.2,36.4,36.6,45.6,2024-06-16,37.2,38,44.3,49.5
2024-06-24 0:00,558,Corn,204,5.91,21.2,19,20.3,28.2,2024-06-19,16.1,20.4,23.3,31.4
2024-06-24 0:00,629,Corn,204,13.52,22.6,26.1,41,49.9,2024-05-30,27.4,30.2,46.6,56.7
2024-06-24 0:00,630,Corn,204,28,20.4,5.6,19.1,24.1,2024-06-18,12,5.9,25.8,39.2
