0111,2023-05-13,43.59
0111,2023-06-13,30.49
0111,2023-07-16,42.58
0111,2023-07-16,42.58
0111,2023-07-30,39.49
0111,2023-07-30,39.49
0111,2023-08-10,44.9
0112,2023-06-21,29.39
0112,2023-08-15,42.48
0113,2023-07-05,37.53
0114,2023-07-29,43.98
0114,2023-08-09,52.36
0114,2023-08-09,52.36
0115,2023-08-10,37.5
0116,2023-06-25,43.61
0116,2023-08-12,53.8
0118,2023-08-15,38.59
0554,2023-08-12,47.35
0555,2023-07-09,46.77
0555,2023-07-17,49.57
0556,2023-07-09,18.26
0556,2023-07-25,27.72
0556,2023-07-25,27.72
0556,2023-07-25,27.72
0557,2023-07-16,35.2
0557,2023-07-16,35.2
0557,2023-07-29,33.09
0557,2023-08-07,38.22
0111,2023-05-13,43.59
0111,2023-06-13,30.49
0111,2023-07-16,42.58
0111,2023-07-16,42.58
0111,2023-07-30,39.49
0111,2023-07-30,39.49
0111,2023-08-10,44.9
0112,2023-06-21,29.39
0112,2023-08-15,42.48
0113,2023-07-05,37.53
0114,2023-07-29,43.98
0114,2023-08-09,52.36
0114,2023-08-09,52.36
0115,2023-08-10,37.5
0116,2023-06-25,43.61
0116,2023-08-12,53.8
0118,2023-08-15,38.59
0554,2023-08-12,47.35
0555,2023-07-09,46.77
0555,2023-07-17,49.57
0556,2023-07-09,18.26
0556,2023-07-25,27.72
0556,2023-07-25,27.72
0556,2023-07-25,27.72
0557,2023-07-16,35.2
0557,2023-07-16,35.2
0557,2023-07-29,33.09
0557,2023-08-07,38.22
0111,2023-05-13,43.59
0111,2023-06-13,30.49
0111,2023-07-16,42.58
0111,2023-07-16,42.58
0111,2023-07-30,39.49
0111,2023-07-30,39.49
0111,2023-08-10,44.9
0112,2023-06-21,29.39
0112,2023-08-15,42.48
0113,2023-07-05,37.53
0114,2023-07-29,43.98
0114,2023-08-09,52.36
0114,2023-08-09,52.36
0115,2023-08-10,37.5
0116,2023-06-25,43.61
0116,2023-08-12,53.8
0118,2023-08-15,38.59
0554,2023-08-12,47.35
0555,2023-07-09,46.77
0555,2023-07-17,49.57
0556,2023-07-09,18.26
0556,2023-07-25,27.72
0556,2023-07-25,27.72
0556,2023-07-25,27.72
0557,2023-07-16,35.2
0557,2023-07-16,35.2
0557,2023-07-29,33.09
0557,2023-08-07,38.22
