Station,Date,Layer1,Layer2,Layer3,Layer4
111,2023-07-17,36.767,42.6,45.1,49.733
112,2023-06-22,26.3,29.433,32.5,32.467
114,2023-05-31,21.151,35.913,33.739,32.135
