ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-05-20 15:34:23.460,115,18.6,34.7,33.5,25.3
2024-05-20 15:34:33.485,115,18.6,34.7,33.5,25.3
2024-05-20 16:04:43.798,115,19.2,35.0,33.8,25.6
2024-05-20 16:34:43.796,115,19.6,35.2,34.0,25.9
2024-05-20 17:04:43.801,115,20.0,35.4,34.2,26.2
2024-05-20 18:04:43.808,115,20.5,35.7,34.5,26.7
2024-05-20 18:34:43.388,115,20.7,35.8,34.7,26.9
2024-05-20 19:04:43.993,115,20.8,36.0,34.8,27.1
2024-05-20 19:34:43.857,115,20.9,36.1,35.0,27.3
2024-05-20 20:04:43.887,115,20.9,36.2,35.1,27.5
2024-05-20 20:34:43.918,115,21.0,36.2,35.2,27.6
2024-05-20 21:04:43.970,115,21.0,36.3,35.3,27.8
2024-05-20 21:34:44.235,115,21.0,36.4,35.5,28.0
2024-05-20 22:04:44.093,115,20.9,36.4,35.6,28.1
2024-05-20 22:34:43.966,115,20.9,36.5,35.7,28.3
2024-05-20 23:04:44.035,115,20.9,36.5,35.8,28.4
2024-05-20 23:34:44.286,115,20.8,36.5,35.9,28.5
2024-05-21 00:04:44.238,115,,,,
2024-05-21 00:34:44.489,115,,,,
2024-05-21 01:04:44.521,115,20.8,36.6,36.1,28.9
2024-05-21 01:34:44.805,115,20.7,36.6,36.2,29.0
2024-05-21 02:04:44.855,115,20.7,36.6,36.3,29.1
2024-05-21 02:34:44.079,115,,,,
2024-05-21 03:04:44.380,115,20.5,36.6,36.4,29.3
2024-05-21 03:34:45.077,115,20.5,36.6,36.5,29.4
2024-05-21 04:04:44.752,115,20.4,36.6,36.6,29.5
2024-05-21 04:34:44.830,115,,,,
2024-05-21 05:04:44.932,115,,,,
2024-05-21 05:34:45.167,115,20.2,36.6,36.8,29.7
2024-05-21 06:04:45.273,115,20.2,36.6,36.8,29.8
2024-05-21 06:34:45.233,115,,,,
2024-05-21 07:04:45.673,115,20.0,36.6,36.9,30.0
2024-05-21 07:34:45.561,115,20.0,36.6,37.0,30.1
2024-05-21 08:04:45.403,115,19.9,36.6,37.0,30.1
2024-05-21 08:34:45.536,115,19.9,36.5,37.0,30.2
2024-05-21 09:04:45.567,115,19.9,36.5,37.1,30.3
2024-05-21 09:34:45.569,115,20.0,36.6,37.1,30.3
2024-05-21 10:04:45.593,115,20.1,36.6,37.1,30.4
2024-05-21 10:34:45.584,115,20.2,36.6,37.2,30.5
2024-05-21 11:04:45.594,115,20.3,36.6,37.2,30.5
2024-05-21 11:34:45.614,115,20.4,36.7,37.2,30.6
2024-05-21 12:04:45.634,115,20.5,36.7,37.3,30.7
2024-05-21 12:34:45.844,115,20.7,36.8,37.3,30.7
2024-05-21 13:04:45.486,115,,,,
2024-05-21 13:34:45.647,115,20.8,36.9,37.4,30.8
2024-05-21 14:04:45.661,115,21.0,37.0,37.4,30.9
2024-05-21 14:34:45.639,115,21.1,37.0,37.5,31.0
2024-05-21 14:59:38.664,115,20.8,32.8,27.8,23.7
2024-05-21 14:59:48.694,115,20.8,32.8,27.8,23.7
2024-05-21 15:29:56.317,115,21.1,33.2,28.1,23.9
2024-05-21 15:59:55.817,115,21.3,33.6,28.4,24.1
2024-05-21 16:29:56.268,115,21.4,33.9,28.6,24.3
2024-05-21 16:59:56.259,115,21.4,34.2,28.8,24.4
2024-05-21 17:59:56.284,115,21.5,34.6,29.2,24.7
2024-05-21 18:29:56.200,115,21.5,34.9,29.4,24.8
2024-05-21 18:59:56.248,115,21.5,35.0,29.6,24.9
2024-05-21 19:29:56.255,115,21.5,35.2,29.7,24.9
2024-05-21 19:59:56.257,115,21.4,35.3,29.8,25.0
2024-05-21 20:29:56.257,115,21.4,35.5,30.0,25.1
2024-05-21 20:59:56.204,115,21.4,35.6,30.1,25.2
2024-05-21 21:29:56.393,115,21.3,35.8,30.2,25.3
2024-05-21 21:59:56.320,115,21.2,35.9,30.4,25.3
2024-05-21 22:29:55.875,115,21.2,36.0,30.5,25.4
2024-05-21 22:59:56.382,115,21.2,36.0,30.6,25.5
