,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-07-09 22:01:22.005,115.0,35.5,50.5,47.7,42.5
2024-08-16 07:02:27.871,115.0,35.9,45.9,45.6,42.7
2024-08-30 20:03:01.331,115.0,41.0,53.0,50.5,41.2
