,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-05-24 22:51:16.743,113.0,34.9,45.3,40.4,39.5
2024-06-14 04:50:35.172,113.0,46.4,54.6,50.8,51.1
2024-06-29 11:50:03.566,113.0,41.6,44.7,47.0,50.2
2024-07-09 23:19:42.366,113.0,57.3,64.9,61.0,56.0
2024-08-30 20:56:31.536,113.0,62.0,66.2,57.3,53.4
