ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-05-20 15:21:05.552,113,12.4,28.0,32.8,30.8
2024-05-20 15:21:15.564,113,12.4,28.0,32.8,30.8
2024-05-20 15:51:25.846,113,13.0,28.5,32.9,31.1
2024-05-20 16:21:25.787,113,13.6,28.8,33.1,31.3
2024-05-20 16:51:25.762,113,14.0,29.1,33.3,31.5
2024-05-20 17:21:25.723,113,14.4,29.3,33.3,31.7
2024-05-20 17:51:25.674,113,14.7,29.6,33.5,31.9
2024-05-20 18:21:25.690,113,14.9,29.8,33.6,32.1
2024-05-20 18:51:25.552,113,15.1,30.0,33.7,32.3
2024-05-20 19:21:25.521,113,15.2,30.2,33.9,32.4
2024-05-20 19:51:25.605,113,15.3,30.3,34.0,32.6
2024-05-20 20:21:25.430,113,15.4,30.5,34.1,32.7
2024-05-20 20:51:25.391,113,15.5,30.6,34.2,32.8
2024-05-20 21:21:25.344,113,15.5,30.8,34.3,33.0
2024-05-20 21:51:25.460,113,15.5,30.9,34.4,33.1
2024-05-20 22:21:25.238,113,15.5,31.0,34.5,33.2
2024-05-20 22:51:25.190,113,15.5,31.0,34.6,33.3
2024-05-20 23:21:25.295,113,15.5,31.1,34.6,33.3
2024-05-20 23:51:25.114,113,15.5,31.2,34.7,33.4
2024-05-21 00:21:25.008,113,15.5,31.3,34.8,33.5
2024-05-21 00:51:25.184,113,15.5,31.3,34.9,33.6
2024-05-21 01:21:24.970,113,15.4,31.4,34.9,33.7
2024-05-21 01:51:24.618,113,15.4,31.4,35.0,33.8
2024-05-21 02:21:24.870,113,15.4,31.5,35.1,33.9
2024-05-21 02:51:24.815,113,15.4,31.5,35.1,33.9
2024-05-21 03:21:24.771,113,15.4,31.6,35.2,34.0
2024-05-21 04:51:24.616,113,15.3,31.6,35.3,34.3
2024-05-21 05:21:24.542,113,15.3,31.6,35.4,34.3
2024-05-21 05:51:24.537,113,15.2,31.7,35.4,34.4
2024-05-21 06:21:24.507,113,15.2,31.7,35.5,34.5
