ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-05-24 11:48:18.769,111,21.2,20.9,38.5,47.9
2024-05-24 11:48:28.797,111,21.2,20.9,38.5,47.9
2024-05-24 12:18:38.625,111,21.3,21.0,38.5,47.8
2024-05-24 12:48:39.028,111,21.4,21.0,38.5,47.8
2024-05-24 13:18:38.983,111,21.5,21.0,38.5,47.8
2024-05-24 13:48:39.018,111,,,,
2024-05-24 14:18:38.919,111,22.3,21.0,38.5,47.9
2024-05-24 14:48:38.988,111,22.3,21.0,38.5,47.9
2024-05-24 15:18:38.412,111,22.4,21.1,38.5,47.9
2024-05-24 15:48:38.809,111,22.4,21.1,38.5,47.9
2024-05-24 16:18:38.374,111,22.4,21.1,38.5,47.9
2024-05-24 16:48:38.792,111,,,,
2024-05-24 17:18:38.765,111,,,,
2024-05-24 17:48:38.651,111,26.0,21.2,38.7,48.0
2024-05-24 18:18:38.712,111,,,,
2024-05-24 18:48:38.654,111,,,,
2024-05-24 19:18:38.468,111,,,,
2024-05-24 19:48:38.534,111,31.7,24.8,41.0,48.2
2024-05-24 20:18:38.571,111,31.4,24.8,41.7,48.4
2024-05-24 20:48:38.297,111,31.2,24.8,42.1,48.8
2024-05-24 21:18:38.430,111,31.0,24.7,42.3,49.2
2024-05-24 21:48:38.482,111,30.8,24.6,42.3,49.7
2024-05-24 22:18:38.215,111,30.6,24.6,42.4,50.0
2024-05-24 22:48:38.558,111,30.5,24.5,42.4,50.2
2024-05-24 23:18:38.304,111,30.3,24.5,42.4,50.4
2024-05-24 23:48:37.850,111,30.1,24.4,42.5,50.5
2024-05-25 00:18:38.243,111,30.0,24.3,42.5,50.7
2024-05-25 01:18:38.175,111,29.8,24.2,42.4,51.0
2024-05-25 01:48:38.154,111,29.7,24.2,42.4,51.1
2024-05-25 02:18:38.106,111,29.7,24.1,42.4,51.1
2024-05-25 02:48:38.083,111,29.6,24.1,42.4,51.2
2024-05-25 03:18:38.053,111,29.6,24.0,42.4,51.3
2024-05-25 03:48:38.089,111,,,,
2024-05-25 04:18:38.049,111,,,,
2024-05-25 04:48:37.964,111,29.4,23.9,42.5,51.4
2024-05-25 05:18:37.944,111,29.4,23.9,42.5,51.4
2024-05-25 05:48:37.715,111,29.3,23.9,42.5,51.4
2024-05-25 06:18:37.871,111,29.3,23.9,42.5,51.4
2024-05-25 06:48:37.865,111,29.2,23.9,42.5,51.4
2024-05-25 07:18:37.812,111,29.2,23.8,42.5,51.4
2024-05-25 07:48:37.778,111,29.2,23.8,42.5,51.4
2024-05-25 08:18:37.752,111,29.2,23.8,42.5,51.4
2024-05-25 08:48:37.715,111,29.1,23.8,42.5,51.4
2024-05-25 09:18:37.675,111,29.1,23.7,42.5,51.4
2024-05-25 09:48:37.642,111,29.1,23.7,42.5,51.4
2024-05-25 10:18:37.603,111,29.0,23.7,42.5,51.4
2024-05-25 10:48:37.574,111,28.9,23.6,42.5,51.4
2024-05-25 11:18:37.524,111,28.8,23.6,42.5,51.4
2024-05-25 11:48:37.497,111,28.7,23.6,42.4,51.4
2024-05-25 12:48:37.381,111,28.5,23.5,42.4,51.4
2024-05-25 13:18:37.591,111,28.3,23.5,42.4,51.4
2024-05-25 13:48:37.362,111,28.3,23.4,42.3,51.3
2024-05-25 14:48:37.453,111,28.1,23.4,42.3,51.3
2024-05-25 15:18:37.221,111,28.0,23.4,42.2,51.3
2024-05-25 15:48:37.175,111,27.9,23.4,42.2,51.3
2024-05-25 16:18:37.139,111,27.8,23.4,42.2,51.3
2024-05-25 16:48:37.114,111,27.7,23.4,42.2,51.3
2024-05-25 17:18:37.070,111,27.7,23.4,42.1,51.3
2024-05-25 17:48:37.031,111,27.6,23.4,42.1,51.3
2024-05-25 18:18:36.993,111,27.5,23.4,42.1,51.3
2024-05-25 18:48:36.790,111,,,,
2024-05-25 19:18:36.930,111,27.3,23.4,42.1,51.3
2024-05-25 19:48:36.870,111,27.1,23.4,42.1,51.3
2024-05-25 20:18:36.872,111,27.0,23.4,42.1,51.3
2024-05-25 20:48:36.811,111,26.9,23.4,42.1,51.2
2024-05-25 21:18:36.842,111,,,,
2024-05-25 21:48:36.805,111,,,,
2024-05-25 22:18:36.774,111,,,,
2024-05-25 22:48:36.738,111,,,,
2024-05-25 23:18:36.713,111,,,,
2024-05-25 23:48:36.695,111,,,,
2024-05-26 00:18:36.668,111,,,,
2024-05-26 00:48:36.633,111,,,,
2024-05-26 01:18:36.518,111,,,,
2024-05-26 01:48:36.579,111,,,,
2024-05-26 02:18:36.560,111,,,,
2024-05-26 02:48:36.529,111,,,,
2024-05-26 03:18:36.503,111,,,,
2024-05-26 03:48:36.473,111,,,,
2024-05-26 04:18:36.268,111,,,,
2024-05-26 04:48:36.410,111,,,,
2024-05-26 05:18:36.387,111,,,,
2024-05-26 05:48:36.374,111,,,,
