,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-05-28 20:18:32.116,111.0,28.1,25.7,43.9,50.8
2024-06-06 22:48:17.322,111.0,28.3,29.3,45.9,51.0
2024-06-30 01:17:39.584,111.0,21.1,24.6,43.2,50.0
2024-07-13 01:17:18.371,111.0,44.2,44.1,48.9,50.5
2024-08-03 20:16:43.795,111.0,38.8,37.6,46.0,46.4
2024-08-29 20:08:21.384,111.0,22.5,26.4,33.2,38.6
2024-08-29 20:08:21.384,111.0,22.5,26.4,33.2,38.6
