Sensor,fc1,fc2,fc3,fc4
111,31.7,31.7,49.8,49.8
112,34.9,34.9,49.8,49.8
113,31.8,31.8,49.8,49.8
114,32.7,32.7,49.8,49.8
116,40,40,49.8,49.8
118,29.3,29.3,46,46
2492,33.3,33.3,40,40
554,33.38571429,33.38571429,47.85714286,47.85714286
555,33.38571429,33.38571429,47.85714286,47.85714286
