Time (LST),AVG_WS (mph),precip (mm),SUM_SR (W/m²),AVG_Temp (°C),AVG_RH (%),SVP (kPa),VP (mb),HeatFlux,Jdate,AP (kPa),gamma,VPD (kPa),VPS (kPa/°C),Rnet (MJ/m²/day),ETo (inch),Week,CWPE,SWPE
2024-04-14,10.105,0.0,155.931,23.488,52.257,2.893,15.12,0.87282,104.0,97.573,0.06497900995894282,1.3809999999999998,0.17434556697935388,7.747980636777395,0.275897858778385,15,9,5
2024-04-15,6.136,0.0,315.399,18.791,57.264,2.169,12.42,0.87282,105.0,97.534,0.06465983002927381,0.927,0.13552636888750455,13.208143833061813,0.21342626905666703,16,10,6
2024-04-16,10.407,0.508,215.34,20.799,48.826,2.456,11.994,0.87282,106.0,97.551,0.0647961456967893,1.2566,0.15111581797362938,9.565913645450784,0.2769554715841273,16,10,6
2024-04-17,14.351,1.016,165.201,18.049,67.556,2.07,13.986,0.87282,107.0,97.528,0.0646097781709535,0.6713999999999998,0.1301214321906381,8.216445199306504,0.1787072653914432,16,10,6
2024-04-18,6.2,11.176,193.351,14.536,67.653,1.655,11.197,0.87282,108.0,97.498,0.0643727209234546,0.5353000000000001,0.10694278016489553,9.092354583753098,0.13174369395596777,16,10,6
2024-04-19,11.258,0.0,236.233,9.959,66.788,1.225,8.179,0.87282,109.0,97.458,0.06406564544873415,0.4071,0.08208418579309103,10.407309921948787,0.12606735023685706,16,10,6
2024-04-20,11.197,0.0,254.115,6.138,54.451,0.944,5.141,0.87282,110.0,97.424,0.0638109374242272,0.42989999999999995,0.06528366539260134,10.66265065683065,0.13240144127376216,16,10,6
2024-04-21,6.811,0.0,319.573,6.708,52.615,0.982,5.166,0.87282,111.0,97.429,0.06384876912955965,0.4653999999999999,0.06758524941537773,12.728412704803839,0.1378820837696501,16,10,6
2024-04-22,6.877,0.0,305.608,10.944,49.003,1.308,6.409,0.87282,112.0,97.467,0.06413176140889187,0.6671,0.08696962702314112,12.21359101671698,0.1745792576631009,17,11,7
2024-04-23,9.746,30.48,45.944,10.964,76.163,1.31,9.974,0.87282,113.0,97.467,0.06413298490881092,0.3126,0.08707133663462688,3.88487641016777,0.07861373463231511,17,11,7
2024-04-24,9.53,0.0,203.729,6.13,80.792,0.944,7.623,0.87282,114.0,97.424,0.06381045270761154,0.18169999999999986,0.06525184612959781,9.504749509663654,0.06870843724266802,17,11,7
