Date,Station,Crop,Rootdpth(inch),Deficit(inch),sm_val1(%),sm_val2(%),sm_val3(%),sm_val4(%),fc_date,fc_val1(%),fc_val2(%),fc_val3(%),fc_val4(%)
2024-06-28 00:00:00,0111,Soybean,22.0952,1.61,15.5,18.3,38.9,48.6,2024-06-18,24.8,27.9,44.8,51.7
2024-06-28 00:00:00,0112,Soybean,22.0952,1.25,21.7,29.1,35.8,47.2,2024-05-29,29.6,33.0,43.6,49.1
2024-06-28 00:00:00,0113,Soybean,22.0952,2.38,23.9,31.4,41.6,48.6,2024-06-17,33.6,50.4,50.6,51.4
2024-06-28 00:00:00,0114,Soybean,22.0952,2.11,17.6,34.1,40.4,40.4,2023-08-19,37.28,45.0,42.96,43.26
2024-06-28 00:00:00,0115,Soybean,22.0952,2.76,20.7,28.8,28.6,30.3,2023-08-11,33.2,37.5,40.5,49.2
2024-06-28 00:00:00,0116,Soybean,22.0952,1.34,11.5,16.5,26.8,45.6,2024-06-22,14.1,22.5,37.8,49.6
2024-06-28 00:00:00,0554,Corn,24,0.31,7.8,8.2,23.2,32.5,2024-06-26,7.9,8.8,24.7,35.4
2024-06-28 00:00:00,0556,Corn,24,0.11,21.5,21.7,16.5,22.6,2024-06-26,21.3,22.0,17.0,23.7
2024-06-28 00:00:00,0557,Corn,24,0.8,38.1,36.2,37.1,45.2,2024-06-16,37.2,38.0,44.3,49.5
2024-06-28 00:00:00,0558,Corn,24,0.13,16.2,16.6,17.7,25.9,2024-06-25,16.8,16.6,18.3,26.9
2024-06-28 00:00:00,0629,Corn,24,0.43,18.1,21.2,36.1,48.8,2024-06-27,23.9,21.8,36.6,49.1
2024-06-28 00:00:00,0630,Corn,24,1.79,14.3,2.9,16.7,21.4,2024-06-18,12.0,5.9,25.8,39.2
