Date,Station,Crop,Rootdpth(inch),Deficit(inch),sm_val1(%),sm_val2(%),sm_val3(%),sm_val4(%),fc_date,fc_val1(%),fc_val2(%),fc_val3(%),fc_val4(%)
2024-06-16 0:00,111,Soybean,33.5238,-0.01,27.7,29.4,45.6,51.7,2024-06-16,27.6,29.4,45.6,51.7
2024-06-16 0:00,112,Soybean,33.5238,-0.96,31.4,36.4,48.2,51.5,2024-05-29,29.6,33,43.6,49.1
2024-06-16 0:00,114,Soybean,33.5238,-4.54,27.3,47.6,50.3,48.1,2023-05-31,21.151,35.913,33.739,32.135
2024-06-16 0:00,116,Soybean,33.5238,0.48,26,36.9,41.5,48.4,2023-06-23,31.367,36.6,43.9,48.6
2024-06-16 0:00,554,Corn,40.1905,4.33,7.6,17.3,37.2,42.6,2024-06-06,32.8,47.7,46.3,44.6
2024-06-16 0:00,556,Corn,40.1905,0,21.3,26.3,29.1,39,2024-06-02,20.8,30.2,30.9,37.6
2024-06-16 0:00,557,Corn,40.1905,-3.3,37.2,38,44.3,49.5,2023-07-17,32.3,35.2,36.7,38.767
2024-06-16 0:00,558,Corn,40.1905,0.26,21.8,26.9,30,31.3,2024-06-02,22.95,37.8,30.5,29.1
2024-06-16 0:00,629,Corn,40.1905,1.16,17.9,24.2,40.9,57.2,2024-05-30,27.4,30.2,46.6,56.7
2024-06-16 0:00,630,Corn,40.1905,2.09,18,9.5,36.6,42.6,2024-05-29,32.5,26.9,41.3,42.1
