Date,Station,Crop,Rootdpth(inch),Deficit(inch),sm_val1(%),sm_val2(%),sm_val3(%),sm_val4(%),fc_date,fc_val1(%),fc_val2(%),fc_val3(%),fc_val4(%)
2024-06-29 00:00:00,0111,Soybean,22.5714,1.78,14.6,17.9,37.9,48.3,2024-06-18,24.8,27.9,44.8,51.7
2024-06-29 00:00:00,0112,Soybean,22.5714,1.36,21.2,28.9,35.5,46.4,2024-05-29,29.6,33.0,43.6,49.1
2024-06-29 00:00:00,0113,Soybean,22.5714,2.55,22.8,30.7,41.2,48.0,2024-06-17,33.6,50.4,50.6,51.4
2024-06-29 00:00:00,0114,Soybean,22.5714,2.22,16.8,33.6,40.2,40.2,2023-08-19,37.28,45.0,42.96,43.26
2024-06-29 00:00:00,0115,Soybean,22.5714,3.02,19.7,28.3,27.5,29.9,2023-08-11,33.2,37.5,40.5,49.2
2024-06-29 00:00:00,0116,Soybean,22.5714,1.58,10.5,15.9,25.7,44.4,2024-06-22,14.1,22.5,37.8,49.6
2024-06-29 00:00:00,0554,Corn,24,0.4,7.4,7.5,23.1,32.2,2024-06-26,7.9,8.8,24.7,35.4
2024-06-29 00:00:00,0556,Corn,24,0.2,20.6,21.6,16.2,22.3,2024-06-26,21.3,22.0,17.0,23.7
2024-06-29 00:00:00,0557,Corn,24,0.82,37.4,36.0,37.2,45.0,2024-06-16,37.2,38.0,44.3,49.5
2024-06-29 00:00:00,0558,Corn,24,0.26,15.1,16.0,17.5,25.6,2024-06-25,16.8,16.6,18.3,26.9
2024-06-29 00:00:00,0629,Corn,24,0.46,18.1,21.0,35.9,48.7,2024-06-27,23.9,21.8,36.6,49.1
2024-06-29 00:00:00,0630,Corn,24,1.82,14.3,2.8,16.5,21.2,2024-06-18,12.0,5.9,25.8,39.2
